Country/Region,GDP,HAQ,Lat,Long,Recovered,death,population,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2002/1/20,2002/2/20,2002/3/20,2002/4/20,2002/5/20,2002/6/20,2002/7/20,2002/8/20,2002/9/20,2002/10/20,2002/11/20,2002/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2003/1/20,2003/2/20,2003/3/20,2003/4/20,2003/5/20,2003/6/20,2003/7/20,2003/8/20,2003/9/20,2003/10/20,2003/11/20,2003/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,2004/1/20,2004/2/20,2004/3/20,2004/4/20,2004/5/20,2004/6/20,2004/7/20,2004/8/20,2004/9/20,2004/10/20,2004/11/20,2004/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,2005/1/20,2005/2/20,2005/3/20,2005/4/20,2005/5/20,2005/6/20,2005/7/20,2005/8/20,2005/9/20,2005/10/20,2005/11/20,2005/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,2006/1/20
Afghanistan,19362969582,32.57,33,65,2171,369,38041754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,4,5,5,1,0,0,2,0,16,0,34,10,10,16,0,10,50,4,63,36,8,18,50,18,56,21,40,37,34,52,58,49,70,56,66,27,63,30,66,84,103,72,112,68,172,125,111,232,164,134,235,190,330,168,171,215,255,369,285,276,263,413,414,349,262,408,581,492,531,540,782,584,591,658,625,580,623,866,680,545
Albania,15102500898,78.13,41.1533,20.1683,945,34,2880917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,11,10,5,4,9,4,4,5,6,6,13,15,19,23,28,12,11,15,11,20,16,18,27,29,28,16,6,17,9,7,17,13,21,8,19,24,21,9,14,22,25,25,29,15,34,14,10,14,16,7,9,7,6,8,17,12,10,8,6,12,4,4,4,18,18,17,13,2,1,15,5,12,8,9,6,25,21,26,23,23,15,6
Algeria,1.73758E+11,63.77,28.0339,1.6596,6717,707,43053054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,5,0,2,1,0,0,4,2,11,11,6,6,14,13,3,49,62,29,34,38,65,42,45,57,73,132,131,139,185,80,69,103,45,104,94,95,64,89,69,87,90,108,150,116,95,89,93,99,97,120,129,126,135,132,199,158,148,141,179,174,190,159,185,187,189,165,168,176,186,189,187,192,198,182,176,165,186,190,195,193,197,194,160,140,137,133,127,119
Argentina,5.19872E+11,68.4,-38.4161,-63.6167,6909,664,44780677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,4,0,5,2,0,12,3,11,11,12,11,18,31,30,108,35,86,0,115,87,101,55,75,234,0,79,132,186,0,103,74,87,80,180,0,167,66,69,166,128,98,89,81,102,90,113,291,172,173,112,111,124,158,143,104,149,102,104,133,188,163,240,165,258,244,285,316,255,345,326,263,303,438,474,648,718,704,723,552,600,705,769,717,795,637,564
Armenia,12433089919,67.67,40.0691,45.0382,4099,211,2957731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,10,8,26,26,6,31,21,24,34,41,14,16,25,39,78,17,58,50,39,92,73,34,52,11,20,28,40,16,30,46,26,28,44,48,42,47,43,48,62,72,50,73,81,69,62,59,65,134,82,125,113,121,112,163,102,145,146,138,79,146,180,142,184,239,189,351,218,230,335,322,374,359,452,289,372,442,460,251,355,210
Australia,1.4339E+12,89.83,-31.9961875,141.2327875,6706,102,25203198,0,0,0,0,4,1,0,1,3,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,9,13,3,5,3,13,15,16,21,0,72,50,47,80,75,116,113,110,280,478,133,362,320,446,333,497,344,377,198,303,254,214,220,137,110,98,115,98,107,88,12,36,64,25,22,60,46,42,13,22,7,10,15,17,20,7,23,8,14,12,21,23,25,28,19,19,5,21,9,22,10,9,30,16,9,10,14,4,9,14,4,15,0,12,13,11,15,19,8,10,19
Austria,4.55286E+11,88.17,47.5162,14.5501,15839,672,8955102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,5,4,3,8,12,14,24,25,27,51,64,56,202,151,205,158,314,314,367,375,426,768,892,809,305,1321,748,614,517,830,562,531,418,395,257,270,246,342,303,302,311,251,139,96,185,110,140,119,76,78,46,78,52,77,69,77,77,49,83,45,50,79,27,39,24,29,34,68,22,59,38,11,79,36,61,51,92,41,27,52,32,51,32,50,17,36,18,34,37,27,30,46,2
Azerbaijan,46939529412,64.53,40.1431,47.5769,4149,88,10047718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,2,0,0,4,0,8,5,0,0,16,0,9,12,7,15,6,29,43,17,27,64,25,61,41,43,78,63,57,76,105,104,65,67,40,50,49,56,30,57,33,25,38,44,38,30,44,25,28,33,39,49,38,50,40,38,52,76,67,77,75,143,97,70,104,65,121,101,158,136,113,131,113,118,106,127,140,149,132,165,191,230,257,248,168
Bahrain,37746196809,78.97,26.0275,50.55,9468,26,1641172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,10,0,3,5,6,2,0,3,3,5,25,0,10,15,85,0,0,15,4,0,14,28,22,7,20,29,43,15,27,39,8,10,23,16,52,2,74,29,16,12,56,55,12,64,38,115,96,225,167,143,29,40,33,108,26,66,54,190,301,70,59,76,88,110,119,130,114,99,150,187,214,265,245,330,167,295,295,285,382,385,164,209,228,348,356,286,240,388,336,33,195,326,360,397,344,605,473
Bangladesh,2.74025E+11,51.67,23.685,90.3563,14560,930,163046161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,2,4,3,3,5,2,6,6,0,5,4,0,0,1,2,3,2,5,9,18,35,41,54,112,94,58,139,182,209,219,341,266,306,312,492,434,390,414,503,309,418,497,549,641,564,571,552,665,688,786,790,706,709,636,887,1034,969,1162,1041,1202,930,1273,1602,1251,1617,1773,1694,1873,1532,1975,1166,1541,2029,2523,1764,2545,2381
